BillNo;Itemname;Quantity;Date;Price;CustomerID
100001;Paper Cup;50;01.12.2010 08:26;0,79;17850
100001;Plastic Fork;25;01.12.2010 08:26;0,25;17850
100001;Plastic Plate;10;01.12.2010 08:26;1,99;17850
100002;Heart T-Light;2;01.12.2010 08:28;2,55;17851
100002;Metal Lantern;1;01.12.2010 08:28;3,39;17851
100003;Wooden Spoon;12;01.12.2010 08:30;0,89;17852
100003;Wooden Fork;12;01.12.2010 08:30;0,49;17852
100003;Paper Plate;40;01.12.2010 08:30;0,95;17852
100004;Glass Vase;3;01.12.2010 08:32;4,99;17853
100004;Wooden Tray;1;01.12.2010 08:32;5,99;17853
100005;Ceramic Mug;5;01.12.2010 08:34;3,75;17854
100005;Heart Mug;5;01.12.2010 08:34;3,95;17854
100006;Plastic Knife;30;01.12.2010 08:36;0,35;17855
100006;Paper Straw;50;01.12.2010 08:36;0,45;17855
100006;Plastic Cup;50;01.12.2010 08:36;0,75;17855
100007;Cotton Napkin;5;01.12.2010 08:38;1,75;17856
100007;Gift Box;2;01.12.2010 08:38;4,50;17856
100008;Wooden Coaster;10;01.12.2010 08:40;1,99;17857
100008;Wooden Ornament;3;01.12.2010 08:40;3,99;17857
100009;Ceramic Teapot;1;01.12.2010 08:42;7,99;17858
100009;Glass Pitcher;1;01.12.2010 08:42;6,99;17858
100010;Metal Straw;15;01.12.2010 08:44;1,50;17859
100010;Glass Jar;5;01.12.2010 08:44;2,79;17859
100011;Plastic Fork;50;01.12.2010 08:46;0,25;17860
100011;Plastic Plate;25;01.12.2010 08:46;1,99;17860
100011;Paper Cup;50;01.12.2010 08:46;0,79;17860
100012;Ceramic Bowl;10;01.12.2010 08:48;3,25;17861
100012;Ceramic Plate;5;01.12.2010 08:48;3,50;17861
100013;Wooden Tray;6;01.12.2010 08:50;5,99;17862
100013;Glass Vase;4;01.12.2010 08:50;4,99;17862
100014;Cotton Cushion;3;01.12.2010 08:52;5,75;17863
100014;Metal Tray;4;01.12.2010 08:52;6,50;17863
100015;Paper Napkin;100;01.12.2010 09:00;0,15;17864
100015;Plastic Spoon;50;01.12.2010 09:00;0,20;17864
100015;Plastic Cup;75;01.12.2010 09:00;0,75;17864
100016;Scented Candle;8;01.12.2010 09:05;3,99;17865
100016;Ceramic Vase;2;01.12.2010 09:05;8,99;17865
100017;Bamboo Chopsticks;20;01.12.2010 09:10;0,99;17866
100017;Soy Sauce Dish;10;01.12.2010 09:10;1,50;17866
100017;Rice Bowl;5;01.12.2010 09:10;2,99;17866
100018;Tea Infuser;3;01.12.2010 09:15;2,50;17867
100018;Ceramic Teacup;6;01.12.2010 09:15;2,99;17867
100018;Tea Caddy;1;01.12.2010 09:15;9,99;17867
100019;Fruit Bowl;2;01.12.2010 09:20;7,50;17868
100019;Salad Servers;1;01.12.2010 09:20;4,99;17868
100020;Wine Glass;12;01.12.2010 09:25;3,99;17869
100020;Bottle Opener;1;01.12.2010 09:25;2,50;17869
100020;Wine Stopper;2;01.12.2010 09:25;1,99;17869
100021;Cheese Board;1;01.12.2010 09:30;12,99;17870
